COG,commune,population,subvention_commune,subvention_EPCI_distributed,total_subventions,total_subventions_parHab
90105,Villars-le-Sec,178,0,1059,1059,5.9
91001,Abbéville-la-Rivière,331,0,834,834,2.5
91016,Angerville,4416,36909,11122,48031,10.9
91017,Angervilliers,1720,0,7934,7934,4.6
91021,Arpajon,11503,71871,115557,187428,16.3
91022,Arrancourt,119,0,300,300,2.5
91027,Athis-Mons,36451,539650,208488,748138,20.5
91035,Authon-la-Plaine,371,0,934,934,2.5
91037,Auvernaux,330,0,485,485,1.5
91038,Auvers-Saint-Georges,1250,0,8465,8465,6.8
91041,Avrainville,1045,0,10498,10498,10.0
91044,Ballainvilliers,4838,36377,50253,86630,17.9
91045,Ballancourt-sur-Essonne,7795,67282,11454,78736,10.1
91047,Baulne,1468,0,2157,2157,1.5
91064,Bièvres,4700,438860,38955,477815,101.7
91067,Blandy,115,0,290,290,2.5
91069,Boigneville,376,0,13100,13100,34.8
91075,Bois-Herpin,83,0,209,209,2.5
91079,Boissy-la-Rivière,533,0,1342,1342,2.5
91080,Boissy-le-Cutté,1343,0,9095,9095,6.8
91081,Boissy-le-Sec,693,0,1745,1745,2.5
91085,Boissy-sous-Saint-Yon,3855,73259,26105,99364,25.8
91086,Bondoufle,10833,211512,214782,426294,39.4
91093,Boullay-les-Troux,632,0,2915,2915,4.6
91095,Bouray-sur-Juine,2077,0,14065,14065,6.8
91097,Boussy-Saint-Antoine,7986,49500,90211,139711,17.5
91098,Boutervilliers,429,0,1080,1080,2.5
91099,Boutigny-sur-Essonne,3048,0,106195,106195,34.8
91100,Bouville,658,0,1657,1657,2.5
91103,Brétigny-sur-Orge,26658,831798,267802,1099600,41.2
91105,Breuillet,9023,67970,90644,158614,17.6
91106,Breux-Jouy,1283,0,7458,7458,5.8
91109,Brières-les-Scellés,1218,0,3068,3068,2.5
91111,Briis-sous-Forges,3375,0,15569,15569,4.6
91112,Brouy,129,0,325,325,2.5
91114,Brunoy,25792,242162,291351,533513,20.7
91115,Bruyères-le-Châtel,3738,72060,37551,109611,29.3
