country,annais,births,categorized_births,Traditionnel_pct,Moderne_pct,Inventé_pct,Européen_pct,Musulman_pct,Africain_pct,Asiatique_pct
france metro,1929,588965,588950,98.68,0.03,0.08,1.17,0.06,0.0,0.0
france metro,1930,614490,614475,98.58,0.03,0.09,1.27,0.06,0.0,0.0
france metro,1931,608405,608390,98.52,0.03,0.09,1.32,0.06,0.0,0.0
france metro,1932,601505,601500,98.67,0.03,0.12,1.16,0.05,0.0,0.0
france metro,1933,569325,569315,98.82,0.04,0.12,1.0,0.06,0.0,0.0
france metro,1934,573275,573265,98.82,0.05,0.14,0.97,0.05,0.0,0.0
france metro,1935,544215,544210,98.87,0.06,0.16,0.89,0.03,0.0,0.0
france metro,1936,538555,538550,98.92,0.08,0.21,0.78,0.04,0.0,0.0
france metro,1937,531265,531260,98.84,0.1,0.23,0.8,0.06,0.0,0.0
france metro,1938,526030,526030,98.86,0.11,0.25,0.74,0.05,0.0,0.0
france metro,1939,525360,525355,98.82,0.12,0.29,0.73,0.05,0.0,0.0
france metro,1940,473985,473985,98.88,0.11,0.27,0.7,0.05,0.0,0.0
france metro,1941,448465,448465,98.49,0.13,0.35,0.99,0.06,0.0,0.0
france metro,1942,496850,496815,98.5,0.16,0.34,0.95,0.06,0.0,0.0
france metro,1943,539665,539605,98.43,0.16,0.41,0.95,0.08,0.0,0.0
france metro,1944,543840,543785,98.37,0.18,0.44,0.95,0.09,0.0,0.0
france metro,1945,550065,550065,98.48,0.22,0.48,0.74,0.11,0.01,0.0
france metro,1946,820695,820695,98.35,0.26,0.54,0.76,0.14,0.01,0.0
france metro,1947,845535,845535,98.3,0.29,0.59,0.72,0.15,0.01,0.0
france metro,1948,843580,843570,98.16,0.34,0.6,0.78,0.18,0.02,0.0
france metro,1949,842610,842610,98.09,0.36,0.59,0.84,0.2,0.02,0.0
france metro,1950,830840,830840,97.94,0.41,0.59,0.88,0.25,0.03,0.0
france metro,1951,795705,795705,97.75,0.47,0.67,0.88,0.31,0.04,0.0
france metro,1952,791595,791595,97.67,0.56,0.61,0.92,0.36,0.04,0.0
france metro,1953,773395,773380,97.5,0.62,0.59,0.99,0.44,0.07,0.0
france metro,1954,777945,777940,97.31,0.68,0.58,1.06,0.54,0.08,0.0
france metro,1955,772880,772880,97.02,0.79,0.58,1.14,0.64,0.1,0.0
france metro,1956,772245,772240,96.81,0.79,0.54,1.28,0.76,0.13,0.0
france metro,1957,780485,780480,96.64,0.85,0.48,1.34,0.87,0.16,0.0
france metro,1958,775025,775015,96.48,0.87,0.43,1.46,0.96,0.18,0.0
france metro,1959,790510,790510,96.12,0.95,0.41,1.67,1.06,0.2,0.0
france metro,1960,780400,780395,95.64,1.03,0.39,1.82,1.35,0.25,0.0
france metro,1961,797920,797915,95.45,1.03,0.36,1.83,1.6,0.31,0.0
france metro,1962,790640,790630,95.25,1.07,0.34,1.89,1.76,0.35,0.0
france metro,1963,826055,826045,95.2,0.97,0.33,1.94,1.86,0.35,0.0
france metro,1964,833655,833645,95.16,0.86,0.32,1.92,2.02,0.4,0.0
france metro,1965,820975,820975,95.2,0.76,0.34,1.87,2.11,0.42,0.0
france metro,1966,817750,817750,94.71,0.86,0.39,2.06,2.28,0.45,0.0
france metro,1967,793990,793980,94.24,0.88,0.47,2.3,2.51,0.46,0.0
france metro,1968,784670,784650,94.03,0.88,0.56,2.49,2.41,0.44,0.0
france metro,1969,788910,788910,93.37,1.06,0.67,2.77,2.48,0.46,0.0
france metro,1970,793110,793105,92.48,1.3,0.77,3.28,2.55,0.44,0.0
france metro,1971,820035,820035,91.24,1.85,0.8,3.81,2.69,0.45,0.0
france metro,1972,813695,813695,89.41,2.67,0.76,4.75,2.8,0.46,0.0
france metro,1973,792340,792335,87.92,3.12,0.76,5.51,3.02,0.51,0.0
france metro,1974,734170,734165,86.68,3.37,0.73,6.16,3.4,0.6,0.01
france metro,1975,677320,677315,85.24,4.2,0.71,6.56,3.58,0.63,0.0
france metro,1976,650925,650925,84.3,4.73,0.67,6.78,3.8,0.65,0.01
france metro,1977,671390,671390,82.57,5.66,0.69,7.21,4.19,0.71,0.0
france metro,1978,663890,663880,81.22,6.1,0.66,7.9,4.45,0.8,0.01
france metro,1979,680395,680385,80.67,6.2,0.63,8.34,4.48,0.77,0.01
france metro,1980,719905,719890,80.63,6.11,0.63,8.38,4.52,0.82,0.01
france metro,1981,721695,721690,79.13,6.49,0.69,9.11,4.81,0.93,0.01
france metro,1982,711975,711965,77.94,6.97,0.66,9.61,5.03,0.97,0.02
france metro,1983,663855,663850,77.52,6.91,0.62,9.92,5.23,1.08,0.02
france metro,1984,674145,674135,75.82,7.36,0.68,11.15,5.17,1.08,0.01
france metro,1985,681335,681335,75.38,7.37,0.78,11.71,4.95,1.02,0.02
france metro,1986,690080,690070,75.17,7.38,0.93,12.02,4.69,0.94,0.01
france metro,1987,679480,679470,74.58,7.94,1.03,12.2,4.41,0.89,0.03
france metro,1988,680620,680620,73.09,8.88,1.17,12.7,4.36,0.82,0.02
france metro,1989,673160,673160,72.08,9.22,1.29,13.16,4.49,0.82,0.03
france metro,1990,667805,667800,71.13,9.14,1.51,13.92,4.57,0.78,0.02
france metro,1991,663475,663470,70.78,9.15,1.78,13.98,4.65,0.78,0.03
france metro,1992,644720,644720,69.56,9.35,2.13,14.49,4.83,0.72,0.04
france metro,1993,610080,610070,68.9,9.75,2.41,14.34,5.03,0.77,0.05
france metro,1994,608800,608795,69.31,8.98,2.73,14.41,5.09,0.74,0.04
france metro,1995,623870,623860,69.3,8.55,3.1,14.63,5.01,0.69,0.02
france metro,1996,625205,625190,69.23,8.47,3.16,14.79,5.0,0.69,0.03
france metro,1997,613955,613955,68.57,8.23,3.39,15.09,5.42,0.71,0.03
france metro,1998,621420,621420,67.44,8.39,3.76,15.38,5.84,0.8,0.03
france metro,1999,625700,625700,65.79,8.49,4.31,15.89,6.46,0.87,0.04
france metro,2000,654135,654130,64.08,8.53,4.7,16.67,7.04,0.98,0.06
france metro,2001,642420,642415,61.49,8.5,5.55,17.6,8.08,1.15,0.07
france metro,2002,627750,627745,58.83,8.4,6.11,18.97,9.07,1.14,0.09
france metro,2003,619545,619525,56.31,7.89,7.04,20.36,10.09,1.22,0.14
france metro,2004,618120,618090,53.98,7.01,7.61,22.15,11.28,1.31,0.15
france metro,2005,618025,618025,52.08,6.42,8.45,23.04,12.36,1.4,0.18
france metro,2006,633400,633380,50.27,5.98,9.44,23.56,13.36,1.41,0.22
france metro,2007,619455,619450,48.74,5.68,10.0,23.83,14.58,1.46,0.24
france metro,2008,624495,624480,47.43,5.35,10.81,24.15,15.33,1.57,0.3
france metro,2009,619510,619490,46.13,5.37,11.69,23.76,16.47,1.71,0.34
france metro,2010,618365,618345,44.27,5.36,11.8,24.75,17.39,1.82,0.38
france metro,2011,602015,601995,43.78,4.96,11.94,24.83,18.27,1.81,0.39
france metro,2012,595915,595890,43.14,4.85,12.29,24.65,19.17,1.97,0.39
france metro,2013,586970,586950,42.37,4.84,12.62,24.7,19.97,2.1,0.39
france metro,2014,585625,585575,41.94,4.67,12.55,24.78,20.61,2.27,0.42
france metro,2015,567185,567140,42.14,4.41,12.45,24.36,21.17,2.36,0.41
france metro,2016,550490,550465,41.6,4.2,12.46,24.74,21.72,2.41,0.44
france metro,2017,537250,537230,41.15,3.97,12.57,24.67,22.31,2.58,0.4
france metro,2018,526695,526660,40.73,3.97,12.89,24.63,22.35,2.73,0.42
france metro,2019,520320,520260,39.75,3.91,13.38,25.04,22.75,2.81,0.39
france metro,2020,504330,504255,38.72,3.85,14.31,25.14,22.66,2.95,0.43
france metro,2021,509400,509330,38.53,3.66,14.47,25.97,21.89,2.92,0.46
france metro,2022,491225,491085,37.46,3.54,14.68,25.85,23.15,3.14,0.44
france metro,2023,450450,450040,36.89,3.29,14.26,25.86,24.36,3.41,0.4
france metro,2024,438365,437765,37.32,3.14,14.03,25.33,24.66,3.53,0.39
