COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
22242,22,Plurien,1513,0.0,0,5.0,16.4,0.0,0,0,0.0,38,32,17,66,26
22243,22,Plusquellec,557,0.0,0,2.0,17.9,0.0,0,0,0.0,34,32,17,66,22
22244,22,Plussulien,507,0.0,0,4.0,0.0,0.0,0,0,0.0,34,32,17,66,19
22245,22,Pluzunet,984,0.0,0,5.0,19.9,0.0,0,0,0.0,33,32,17,66,27
22246,22,Pommeret,2119,0.0,0,2.0,18.5,0.0,0,0,0.0,35,32,17,66,23
22248,22,Pommerit-le-Vicomte,1842,0.0,0,2.0,20.3,0.0,0,0,0.0,40,32,17,66,23
22249,22,Pont-Melvez,600,0.0,0,0.0,17.9,0.0,0,0,0.0,33,32,17,66,20
22250,22,Pontrieux,1004,0.0,0,18.0,17.9,0.0,0,0,0.0,43,32,17,66,44
22251,22,Pordic,7393,0.0,0,7.0,35.0,0.0,0,0,0.0,97,32,17,66,35
22254,22,Prat,1090,0.0,0,4.0,19.9,0.0,0,0,0.0,29,32,17,66,26
22255,22,La Prénessaye,870,0.0,0,2.0,30.6,0.0,0,0,0.0,36,32,17,66,27
22256,22,Quemper-Guézennec,1089,0.0,0,5.0,17.9,0.0,0,0,0.0,35,32,17,66,26
22257,22,Quemperven,416,0.0,0,3.0,19.9,0.0,0,0,0.0,28,32,17,66,24
22258,22,Quessoy,3930,0.0,0,3.0,24.0,0.0,0,0,0.0,41,61,17,66,56
22259,22,Quévert,3963,0.0,0,6.0,38.5,0.0,0,0,0.0,84,32,17,66,35
22260,22,Le Quillio,591,0.0,0,1.0,0.0,0.0,0,0,0.0,35,32,17,66,15
22261,22,Quintenic,364,0.0,0,3.0,16.4,0.0,0,0,0.0,25,32,17,66,23
22262,22,Quintin,2743,0.0,0,14.0,67.5,0.0,0,0,0.0,97,32,17,110,56
22263,22,Le Quiou,355,0.0,0,3.0,26.6,0.0,0,0,0.0,33,32,17,66,27
22264,22,La Roche-Jaudy,2643,0.0,0,4.0,19.9,0.0,0,0,0.0,41,32,17,66,26
22265,22,Rospez,1790,0.0,0,3.0,19.9,0.0,0,0,0.0,36,32,17,66,24
22266,22,Rostrenen,3282,0.0,0,9.0,148.6,0.0,0,0,0.0,115,66,17,66,77
22267,22,Rouillac,402,0.0,0,5.0,18.9,0.0,0,0,0.0,28,32,17,66,27
22268,22,Ruca,596,0.0,0,0.0,26.6,0.0,0,0,0.0,34,32,17,66,23
22269,22,Runan,253,0.0,0,10.0,17.9,0.0,0,0,0.0,29,32,17,66,33
22271,22,Saint-Adrien,367,0.0,0,1.0,17.9,0.0,0,0,0.0,16,32,17,66,21
22272,22,Saint-Agathon,2202,0.0,0,6.0,17.9,0.0,0,0,0.0,57,32,17,66,28
22273,22,Saint-Alban,2376,0.0,0,1.0,20.8,0.0,0,0,0.0,49,32,17,66,22
22274,22,Saint-André-des-Eaux,395,0.0,0,5.0,26.6,0.0,0,0,0.0,31,32,17,66,29
22275,22,Saint-Barnabé,1219,0.0,0,3.0,0.0,0.0,0,0,0.0,32,32,17,66,18
22276,22,Saint-Bihy,261,0.0,0,0.0,15.9,0.0,0,0,0.0,19,32,17,66,19
