departement,commune,code postal,adresse,nom,COG,validation,latitude,longitude,confidenceCoordinates
38,Grenoble,38100,50 Galerie de l'Arlequin - 38100 GRENOBLE,Mosquée At-Tawba,38185,exact_match,45.164647,5.7320775,1
38,Grenoble,38000,50 Rue Très-Cloîtres - 38000 GRENOBLE,Mosquée El Feth,38185,exact_match,45.1920952,5.7344166,1
38,Grenoble,38000,Rue Lazare Carnot - 38000 GRENOBLE,Centre Islamique de Grenoble,38185,exact_match,45.1848560831178,5.72332823557713,1
38,Grenoble,38000,"7, palce Edmond Arnaud - 38000 GRENOBLE",Mosquée De Grenoble,38185,exact_match,45.192624,5.734106,0.63
38,Grenoble,38000,45 Rue Anatole France - 38000 GRENOBLE,Mosquée Abou Bakr,38185,exact_match,45.17257,5.704677,0.5
38,Grenoble,38000,22 Rue Monge 38000 Grenoble,Mosquée,38185,exact_match,45.178718,5.732762,1
38,Grenoble,38000,9 Allée des Frênes 38000 Grenoble,Mosquée ET-Taqwa,38185,exact_match,45.1612458,5.7358565,1
38,Grenoble,38000,90 Rue Baladin 38000 Grenoble,Mosquée AL Fathou,38185,exact_match,45.182961,5.711544,0.166666666666667
38,Grenoble,38000,68 Bis Rue Jules Vallès 38000 Grenoble,Mosquée,38185,exact_match,45.1417656431437,5.73377768443029,0.5
38,Grenoble,38000,54 Rue de l'Abbé Grégoire 38000 Grenoble,Mosquée St. Bruno,38185,exact_match,45.197395,5.734132,0.0714285714285714
38,RIOUPÉROUX,38220,rue du Taillefer - 38220  RIOUPÉROUX,La mosquée de Rioupéroux,38212,validation manuelle,45.09226145,5.9029743,1
38,Moirans,38430,10 Rue du 8 Mai 1945 - 38430 MOIRANS,Association des musulmans de Moirans,38239,exact_match,45.3275161,5.5618933,0.625
38,Le Péage-de-Roussillon,38550,73 rue Bois Pilon - 38550 LE PEAGE DE ROUSSILLON,Mosquée HICRET CAMII,38298,exact_match,45.370536,4.789662,1
38,Le Péage-de-Roussillon,38550,"33, rue de la République - 38550 LE PEAGE DE ROUSSILLON",Mosquée,38298,exact_match,45.374504,4.798431,1
38,Pontcharra,38530,60 Allee de la Savoyarde - 38530 PONTCHARRA,Mosquée Assalam,38314,exact_match,45.4375357591092,6.0169474061637,0.5
