Type,Code,Français,Etrangers,Ensemble,Français de naissance,Français par acquisition,Portugais,Italiens,Espagnols,Autres nationalités de l'UE,Autres nationalités d'Europe,Algériens,Marocains,Tunisiens,Autres nationalités d'Afrique,Turcs,Autres nationalités
com,26362,56100,8189,64288,51791,4309,377,226,178,289,740,1425,749,875,1623,509,1198
com,25056,106884,13172,120057,99518,7366,478,439,194,472,2065,1704,1112,543,2964,625,2576
com,21231,143490,16451,159941,136532,6958,1070,712,414,865,1801,1513,2470,402,4232,164,2808
com,18033,58364,5875,64238,55547,2817,396,125,147,189,357,635,644,241,1539,275,1327
com,17300,74660,5303,79961,72158,2502,470,140,113,315,428,317,782,196,1208,194,1140
com,14118,99140,9258,108398,95730,3410,253,197,171,343,864,914,649,343,2836,247,2441
com,13055,773074,104140,877215,712618,60456,2900,3095,1783,6105,3996,33667,6184,7489,22012,5433,11476
com,13004,46301,4854,51156,43238,3063,257,481,540,405,155,544,2050,27,159,1,235
com,13001,134677,13256,147933,127057,7620,464,970,587,1800,895,1764,945,1351,1210,199,3071
com,11262,52690,4001,56692,50024,2666,170,110,430,447,265,466,735,123,277,387,591
com,10387,54362,8079,62443,50962,3400,587,251,213,321,875,777,768,252,2475,90,1470
com,6088,294138,59563,353701,266873,27265,4957,6503,847,7223,7025,4108,4953,10374,6844,308,6421
com,6029,63363,10678,74040,58315,5048,885,996,177,1467,1195,887,759,2087,951,199,1075
com,6027,48454,4397,52852,45260,3194,254,634,85,706,417,223,153,1181,204,26,514
com,6004,67661,8950,76612,63566,4095,578,1428,291,1687,1067,446,453,975,359,200,1466
com,2691,49391,3602,52995,47790,1601,405,108,96,188,68,577,510,240,749,388,273
dept,95,1072190,198655,1270845,938366,133824,24567,3469,3203,10123,4928,25596,20366,9018,51754,12335,33296
dept-,95,894516,141040,1035556,793206,101310,20313,2619,2489,8205,3971,16799,12569,5967,34415,10189,23504
dept,94,1169281,250249,1419531,1023974,145307,31713,6145,3636,18215,10955,34686,15361,15850,61571,4727,47390
dept-,94,702095,142181,844277,619603,82492,19881,3672,2331,10682,6711,19278,9217,9061,36141,3384,21823
dept,93,1251188,430537,1681725,1036515,214673,28148,6549,5662,30210,18648,66407,36712,22058,108719,14915,92509
dept-,93,554627,163188,717820,470027,84600,12658,2425,2145,12141,6994,25603,13460,8100,38523,6884,34255
dept,92,1418465,228968,1647435,1263060,155405,19993,6948,5777,18883,10892,28251,30310,15975,42454,1532,47953
dept-,92,570591,81393,651984,511239,59352,7880,2668,2151,7595,4426,9684,8156,5965,15643,430,16795
dept,91,1133571,190976,1324546,1025509,108062,32963,4868,3476,12109,7441,18791,12893,11356,58094,8663,20322
dept-,91,1000754,152786,1153537,912075,88679,29422,4252,2774,10672,6409,14531,9417,8552,44174,6559,16024
dept,90,130105,9978,140082,123098,7007,453,565,242,643,1385,1874,923,228,1230,1103,1332
dept,89,314986,18910,333896,301998,12988,3140,540,601,1657,1347,960,2915,1261,3341,1251,1897
dept,88,346364,12337,358700,337964,8400,1683,640,267,1697,1840,786,900,333,1259,1520,1412
dept,87,347031,25407,372438,336424,10607,1633,259,401,2288,6175,3181,1308,239,5998,1017,2908
dept-,87,232480,10203,242684,227660,4820,901,100,191,1527,5054,445,293,40,640,190,822
dept,86,417520,21169,438688,407779,9741,1357,439,460,2025,4186,1384,1400,398,6039,197,3284
dept-,86,338309,10906,349216,332089,6220,1019,213,243,1417,3569,576,545,164,1599,70,1491
dept,85,692760,13583,706343,683890,8870,1402,481,370,2380,2675,411,717,312,2758,144,1933
dept-,85,641550,10094,651644,634195,7355,1251,378,288,2155,2218,193,424,187,1597,107,1296
dept,84,521492,47211,568702,491503,29989,1727,2562,5931,5491,2315,3568,16800,1699,2561,1497,3060
dept-,84,444767,32177,476942,423060,21707,1600,1853,4593,4590,1735,1723,11007,1236,989,943,1908
dept,83,1045962,62403,1108364,1006559,39403,4062,5040,1769,11408,4974,6322,9579,9577,3572,1995,4105
dept-,83,713635,37109,750742,688545,25090,3331,3335,1241,9187,3752,2823,4575,3574,1443,1563,2285
dept,82,246432,18493,264924,235666,10766,2586,492,1944,3310,2593,769,3663,306,1220,183,1427
dept-,82,189677,12763,202437,182557,7120,1999,385,1316,2873,1940,375,2236,164,592,84,799
dept,81,378260,17908,396168,364411,13849,2385,596,1301,2669,2299,1921,2624,309,1389,305,2110
dept-,81,331803,13761,345563,320077,11726,2204,479,1135,2328,1690,1354,2134,180,849,254,1154
dept,80,548552,16991,565540,537362,11190,1425,280,450,1320,974,1555,2326,687,4657,511,2806
dept-,80,426222,4541,430760,421227,4995,719,107,174,831,375,308,355,239,684,231,518
dept,79,359608,15807,375415,353424,6184,2255,297,904,1930,3690,561,820,254,3044,143,1909
dept-,79,303811,11530,315341,299355,4456,1659,141,824,1739,3433,210,497,127,1754,79,1067
dept,78,1293988,176791,1470778,1185898,108090,30443,4967,5127,13954,8364,16961,22836,7638,40559,4667,21275
dept-,78,1175223,160071,1335290,1076549,98674,26855,4565,4684,12583,7575,15099,21375,6646,37478,4533,18678
dept,77,1290288,162111,1452399,1180995,109293,30907,4986,3856,11846,6398,15082,9700,6472,44409,7326,21129
dept-,77,1197456,143909,1341368,1098586,98870,28294,4612,3542,10918,5989,12584,8661,5280,38730,6612,18687
dept,76,1200310,59896,1260205,1166816,33494,3432,1494,1027,3648,2876,10252,6395,2932,17446,1823,8571
dept-,76,945584,31829,977412,923996,21588,2599,955,724,2212,1667,5017,4184,1862,7419,1374,3816
dept,75,1803744,309962,2113705,1609517,194227,20550,19972,10974,31490,19350,26601,18611,14112,58088,2855,87359
dept-,75,189710,31056,220765,174260,15450,3638,3507,1398,4231,2785,989,1119,754,2212,304,10119
dept,74,761450,88134,849583,717599,43851,10365,7736,3936,8797,28656,4412,3861,2683,5987,5278,6423
dept-,74,643596,74715,718311,606640,36956,8762,6557,3350,7729,26010,3317,3013,2298,4427,4140,5112
dept,73,416745,28542,445288,400091,16654,4503,3594,718,3359,3275,3263,1947,939,2479,2095,2370
dept-,73,364564,20474,385037,351367,13197,3701,2846,547,2746,2756,1655,1166,492,1241,1637,1687
dept,72,544643,21485,566129,532731,11912,1374,578,392,1500,2430,1388,2086,1055,7433,675,2574
dept-,72,412620,8326,420947,406806,5814,993,183,267,979,910,447,755,259,2311,294,928
dept,71,520467,28669,549136,501818,18649,4496,2239,1077,3196,3839,2653,1987,1468,3002,2150,2562
dept,70,226635,7286,233920,220917,5718,881,300,131,908,1051,500,1065,93,719,790,848
dept,69,1723079,184902,1907982,1605104,117975,16209,12041,5785,12006,12410,37277,11180,16071,30395,7409,24119
dept-,69,1026642,79209,1105852,967748,58894,10185,5807,2697,5771,5610,15203,4428,6934,9725,4751,8098
dept,68,695656,72144,767800,653464,42192,4789,7575,2112,12020,13024,7638,4407,1255,4970,8444,5910
dept-,68,554365,41150,595516,526913,27452,3532,5119,1415,10098,7845,2648,1906,538,1480,3857,2712
dept,67,1052959,104003,1156963,992552,60407,4443,6089,3560,21674,11886,6022,7928,1979,10951,13599,15872
dept-,67,814095,51159,865254,780188,33907,3344,2920,1477,14507,5182,2234,2784,1046,3367,8670,5628
dept,66,457712,35252,492964,431140,26572,3477,971,8477,5008,3344,4045,4327,310,1714,568,3011
dept-,66,353429,18539,371968,335141,18288,2488,455,5203,4089,2161,1243,960,128,469,84,1259
dept,65,219818,11633,231453,212416,7402,2368,354,1277,1288,2055,446,972,218,1120,36,1499
dept,64,658451,41021,699473,635887,22564,8470,1035,11304,3646,3348,1136,3094,305,3169,297,5217
dept-,64,540142,27401,567541,523194,16948,6249,712,9768,2740,2237,442,1319,140,1098,59,2637
dept,63,627060,37325,664385,603262,23798,8286,1938,1468,2544,3617,3076,3231,1078,5528,2188,4371
dept-,63,500046,16589,516634,484799,15247,5852,597,715,1823,1384,993,970,284,1395,1024,1552
dept,62,1432971,27215,1460184,1412898,20073,905,1181,501,3489,1949,4166,5571,1044,4048,1013,3348
dept-,62,1367657,24944,1392599,1348435,19222,877,1138,482,3303,1796,3955,5341,937,3666,829,2620
